"","X","Date","Primary.Type","Description","Location","Arrest","Domestic","Community.Area","Year","Latitude","Longitude"
"271992",271992,"05/04/2016 08:15:00 AM","ASSAULT","AGGRAVATED:KNIFE/CUTTING INSTR","(41.89523856, -87.686830715)","false","false",24,2016,41.89523856,-87.686830715
"4865369",4865369,"12/16/2004 09:00:00 PM","THEFT","$500 AND UNDER","(41.919894366, -87.676477374)","false","false",22,2004,41.91989,-87.67648
"3934304",3934304,"08/23/2002 05:03:32 AM","PROSTITUTION","SOLICIT ON PUBLIC WAY","(41.910519219, -87.675368482)","true","false",24,2002,41.910519219,-87.675368482
"6272020",6272020,"02/23/2009 11:18:00 PM","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","(41.69993294, -87.619102587)","true","false",49,2009,41.69993,-87.6191
"837363",837363,"04/02/2003 01:00:00 PM","ASSAULT","AGGRAVATED: HANDGUN","(41.78118765, -87.623730594)","false","false",40,2003,41.78118765,-87.623730594
"5608302",5608302,"03/03/2007 07:25:00 PM","CRIMINAL TRESPASS","TO STATE SUP LAND","(41.89652481, -87.639211587)","true","false",8,2007,41.89652,-87.63921
"2653425",2653425,"12/08/2010 03:00:00 AM","MOTOR VEHICLE THEFT","AUTOMOBILE","(41.92959156, -87.740347424)","false","false",20,2010,41.92959156,-87.740347424
"5914013",5914013,"12/21/2007 09:10:00 AM","THEFT","OVER $500","(41.725370403, -87.549281303)","false","false",46,2007,41.72537,-87.54928
"5274845",5274845,"02/24/2006 08:16:00 PM","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","(41.720916168, -87.593533254)","false","false",50,2006,41.72092,-87.59353
"5166767",5166767,"10/26/2005 01:35:00 PM","THEFT","ATTEMPT THEFT","(41.905054351, -87.720293003)","false","false",23,2005,41.90505,-87.72029
"5415507",5415507,"08/02/2006 11:00:00 AM","OTHER OFFENSE","TELEPHONE THREAT","(41.930657734, -87.717163038)","false","true",22,2006,41.93066,-87.71716
"1046436",1046436,"10/31/2004 11:56:00 PM","CRIMINAL DAMAGE","TO VEHICLE","(41.928740758, -87.752136985)","false","false",19,2004,41.928740758,-87.752136985
"2245740",2245740,"12/26/2001 12:30:00 PM","CRIMINAL DAMAGE","TO PROPERTY","(41.677593788, -87.664198727)","false","false",NA,2001,41.677593788,-87.664198727
"6511270",6511270,"11/20/2009 12:01:00 AM","THEFT","$500 AND UNDER","(41.681046349, -87.614684294)","false","false",53,2009,41.68105,-87.61468
"2280035",2280035,"01/30/2002 11:45:00 AM","MOTOR VEHICLE THEFT","AUTOMOBILE","(41.769449982, -87.682057751)","false","false",NA,2002,41.769449982,-87.682057751
"348988",348988,"08/19/2016 09:05:00 PM","BATTERY","AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST","(41.76960707, -87.684600216)","false","true",66,2016,41.76960707,-87.684600216
"3772582",3772582,"03/29/2002 06:39:35 AM","NARCOTICS","POSS: COCAINE","(41.718893671, -87.536492317)","true","false",NA,2002,41.718893671,-87.536492317
"6001627",6001627,"04/25/2008 09:45:00 AM","THEFT","POCKET-PICKING","(41.878574487, -87.633743652)","false","false",32,2008,41.87857,-87.63374
"3525465",3525465,"06/13/2014 12:00:00 AM","OTHER OFFENSE","TELEPHONE THREAT","(41.877997275, -87.724120826)","false","false",26,2014,41.877997275,-87.724120826
"432988",432988,"12/25/2016 02:14:00 AM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.807973897, -87.694197493)","true","true",58,2016,41.807973897,-87.694197493
"4634195",4634195,"05/07/2004 06:00:00 AM","CRIMINAL DAMAGE","TO PROPERTY","(41.837517041, -87.634084583)","false","false",34,2004,41.8,-87.6
"4205166",4205166,"05/18/2003 10:00:00 PM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.879958463, -87.680015144)","false","true",28,2003,41.9,-87.7
"3835227",3835227,"06/02/2002 01:00:00 PM","THEFT","$500 AND UNDER","(41.711431706, -87.535280647)","false","false",52,2002,41.711431706,-87.535280647
"3794186",3794186,"04/21/2002 07:13:08 PM","NARCOTICS","MANU/DEL:CANNABIS OVER 10 GMS","(41.743599707, -87.556388146)","true","false",46,2002,41.743599707,-87.556388146
"1765412",1765412,"11/26/2008 10:25:55 AM","THEFT","ATTEMPT THEFT","(41.883401379, -87.627874112)","true","false",32,2008,41.883401379,-87.627874112
"523169",523169,"06/19/2017 10:39:00 AM","THEFT","OVER $500","(41.838580199, -87.60772081)","false","false",35,2017,41.838580199,-87.60772081
"6136695",6136695,"09/16/2008 05:00:00 PM","BATTERY","SIMPLE","(41.70685771, -87.649466248)","false","false",73,2008,41.70686,-87.64947
"5352640",5352640,"05/26/2006 05:30:00 PM","MOTOR VEHICLE THEFT","TRUCK, BUS, MOTOR HOME","(41.818053345, -87.72393724)","false","false",57,2006,41.81805,-87.72394
"3739658",3739658,"02/22/2002 05:52:00 PM","ASSAULT","SIMPLE","(41.899564618, -87.729899533)","false","false",NA,2002,41.899564618,-87.729899533
"3904054",3904054,"07/29/2002 12:10:00 PM","CRIMINAL TRESPASS","TO STATE SUP LAND","(41.778984586, -87.635025125)","false","false",68,2002,41.778984586,-87.635025125
"5608391",5608391,"03/04/2007 04:11:00 AM","BATTERY","AGGRAVATED PO: KNIFE/CUT INSTR","(41.929726823, -87.654753189)","true","false",7,2007,41.92973,-87.65475
"6169957",6169957,"10/20/2008 07:00:00 PM","OTHER OFFENSE","TELEPHONE THREAT","(41.898010018, -87.731732363)","false","false",23,2008,41.89801,-87.73173
"1379803",1379803,"05/20/2012 01:10:00 PM","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","(41.685008316, -87.647786643)","true","false",53,2012,41.685008316,-87.647786643
"2160721",2160721,"10/20/2001 12:22:21 PM","CRIMINAL TRESPASS","TO STATE SUP LAND","(41.8711843, -87.658052988)","true","false",NA,2001,41.8711843,-87.658052988
"427839",427839,"12/14/2016 09:30:00 PM","THEFT","$500 AND UNDER","(41.881348623, -87.674525788)","false","false",28,2016,41.881348623,-87.674525788
"6209123",6209123,"12/03/2008 02:27:00 AM","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD","(41.733498877, -87.648428997)","true","true",71,2008,41.7335,-87.64843
"2175032",2175032,"10/31/2001 04:10:00 PM","THEFT","$500 AND UNDER","(41.938586306, -87.649396035)","false","false",NA,2001,41.938586306,-87.649396035
"4343739",4343739,"08/17/2003 05:20:00 PM","THEFT","$500 AND UNDER","(41.869827969, -87.723666032)","false","true",26,2003,41.9,-87.7
"3483454",3483454,"03/24/2014 07:15:00 PM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.730542758, -87.637385466)","false","true",71,2014,41.730542758,-87.637385466
"1304250",1304250,"05/13/2006 12:45:00 PM","ROBBERY","STRONGARM - NO WEAPON","(41.782315073, -87.598767628)","false","false",42,2006,41.782315073,-87.598767628
"2569625",2569625,"08/10/2010 06:08:00 PM","NARCOTICS","MANU/DELIVER:CRACK","(41.900309092, -87.766125506)","true","false",25,2010,41.900309092,-87.766125506
"2126971",2126971,"09/10/2001 08:10:00 PM","PROSTITUTION","SOLICIT ON PUBLIC WAY","(41.814682517, -87.619890731)","true","false",NA,2001,41.814682517,-87.619890731
"2642133",2642133,"11/15/2010 01:00:00 PM","THEFT","FINANCIAL ID THEFT: OVER $300","(41.883376682, -87.627874384)","false","false",32,2010,41.883376682,-87.627874384
"5647500",5647500,"04/13/2007 04:41:48 PM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.673207966, -87.617674109)","false","true",53,2007,41.67321,-87.61767
"1813018",1813018,"01/23/2001 10:50:00 AM","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","(41.849325865, -87.628740459)","true","false",NA,2001,41.849325865,-87.628740459
"5683181",5683181,"05/19/2007 11:32:00 PM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.883931838, -87.67996365)","false","true",28,2007,41.88393,-87.67996
"4824744",4824744,"11/03/2004 06:30:00 PM","OTHER OFFENSE","HARASSMENT BY TELEPHONE","(41.747917322, -87.729639745)","false","true",70,2004,41.74792,-87.72964
"1043088",1043088,"10/19/2004 08:30:00 PM","OTHER OFFENSE","VEHICLE TITLE/REG OFFENSE","(41.878243596, -87.664334877)","true","false",28,2004,41.878243596,-87.664334877
"3768383",3768383,"03/28/2002 08:50:00 PM","ROBBERY","ARMED: HANDGUN","(41.853910939, -87.625522419)","false","false",NA,2002,41.853910939,-87.625522419
"4453080",4453080,"11/22/2003 10:30:00 PM","CRIMINAL DAMAGE","TO VEHICLE","(41.839091599, -87.621913257)","false","false",35,2003,41.8,-87.6
"1048072",1048072,"10/27/2004 01:10:00 AM","PROSTITUTION","SOLICIT ON PUBLIC WAY","(41.909924036, -87.723134021)","true","false",23,2004,41.909924036,-87.723134021
"809616",809616,"12/15/2002 02:30:00 PM","BURGLARY","UNLAWFUL ENTRY","(41.744667949, -87.550831102)","false","false",46,2002,41.744667949,-87.550831102
"2285410",2285410,"06/05/2009 01:00:00 AM","BURGLARY","UNLAWFUL ENTRY","(41.786314533, -87.776705279)","false","false",56,2009,41.786314533,-87.776705279
"978685",978685,"04/20/2004 10:32:22 AM","OTHER OFFENSE","FALSE/STOLEN/ALTERED TRP","(41.888260978, -87.751685067)","false","false",25,2004,41.888260978,-87.751685067
"5368506",5368506,"06/14/2006 12:00:00 AM","CRIMINAL DAMAGE","TO PROPERTY","(41.750539492, -87.602736067)","false","false",44,2006,41.75054,-87.60274
"5729525",5729525,"07/04/2007 10:00:00 AM","MOTOR VEHICLE THEFT","AUTOMOBILE","(41.90635442, -87.75835376)","false","false",25,2007,41.90635,-87.75835
"1540392",1540392,"05/15/2007 09:25:00 AM","BATTERY","PRO EMP HANDS NO/MIN INJURY","(41.862117771, -87.703038145)","false","false",29,2007,41.862117771,-87.703038145
"3455878",3455878,"02/02/2002 11:00:00 PM","OTHER OFFENSE","TELEPHONE THREAT","(41.940865042, -87.730899658)","false","false",NA,2002,41.940865042,-87.730899658
"1098204",1098204,"06/21/2005 01:45:00 PM","ASSAULT","SIMPLE","(41.974201211, -87.724558187)","false","false",14,2005,41.974201211,-87.724558187
"3233633",3233633,"04/19/2013 03:00:00 PM","CRIMINAL TRESPASS","TO LAND","(41.780267983, -87.613969818)","true","false",42,2013,41.780267983,-87.613969818
"1502230",1502230,"12/21/2006 04:01:11 PM","DECEPTIVE PRACTICE","BOGUS CHECK","(41.878926264, -87.629337063)","false","false",32,2006,41.878926264,-87.629337063
"1147949",1147949,"07/14/2005 11:00:00 PM","MOTOR VEHICLE THEFT","AUTOMOBILE","(41.909844104, -87.783363083)","false","false",25,2005,41.909844104,-87.783363083
"1707681",1707681,"06/21/2008 03:00:00 PM","THEFT","FROM BUILDING","(41.915024546, -87.634830051)","false","false",7,2008,41.915024546,-87.634830051
"3114255",3114255,"11/24/2012 10:10:00 PM","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","(41.735158442, -87.649686375)","true","false",71,2012,41.735158442,-87.649686375
"585042",585042,"09/15/2017 08:30:00 AM","ASSAULT","SIMPLE","(41.902752798, -87.716865704)","false","true",23,2017,41.902752798,-87.716865704
"6099675",6099675,"08/08/2008 06:00:00 AM","THEFT","FROM BUILDING","(41.79306546, -87.738901155)","false","false",56,2008,41.79307,-87.7389
"2837216",2837216,"08/04/2011 12:34:30 AM","CRIMINAL DAMAGE","TO PROPERTY","(41.801444286, -87.733193954)","false","false",57,2011,41.801444286,-87.733193954
"3515731",3515731,"05/31/2014 06:00:00 PM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.855006645, -87.669774742)","true","true",31,2014,41.855006645,-87.669774742
"2836987",2836987,"08/04/2011 01:50:00 AM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.803413431, -87.586052837)","false","true",39,2011,41.803413431,-87.586052837
"4481289",4481289,"12/18/2003 12:15:00 PM","ASSAULT","SIMPLE","(41.793577452, -87.619197044)","true","false",40,2003,41.8,-87.6
"5376684",5376684,"06/22/2006 08:45:00 PM","BATTERY","SIMPLE","(41.768760396, -87.621778099)","false","false",69,2006,41.76876,-87.62178
"1661704",1661704,"01/29/2008 08:05:38 AM","CRIMINAL TRESPASS","TO LAND","(41.729470047, -87.551242708)","true","false",46,2008,41.729470047,-87.551242708
"3200588",3200588,"03/11/2013 11:30:00 AM","CRIMINAL TRESPASS","TO LAND","(41.823458129, -87.688976836)","false","true",58,2013,41.823458129,-87.688976836
"389341",389341,"10/16/2016 12:32:00 AM","BATTERY","SIMPLE","(41.87733228, -87.749305618)","false","false",25,2016,41.87733228,-87.749305618
"4911717",4911717,"02/05/2005 11:00:00 PM","THEFT","FROM BUILDING","(41.998103671, -87.668264445)","false","false",1,2005,41.9981,-87.66826
"2807142",2807142,"07/07/2011 04:22:00 PM","ROBBERY","STRONGARM - NO WEAPON","(41.772521508, -87.729922326)","false","false",65,2011,41.772521508,-87.729922326
"6473998",6473998,"10/08/2009 07:00:00 AM","BURGLARY","FORCIBLE ENTRY","(41.702052596, -87.669152492)","false","false",72,2009,41.70205,-87.66915
"5708049",5708049,"06/14/2007 06:05:00 PM","BATTERY","SIMPLE","(41.967046298, -87.772347536)","false","false",15,2007,41.96705,-87.77235
"4381581",4381581,"09/19/2003 11:51:08 PM","ROBBERY","STRONGARM - NO WEAPON","(41.748582391, -87.619699611)","false","false",44,2003,41.7,-87.6
"4677577",4677577,"06/16/2004 05:30:00 PM","ROBBERY","ARMED: HANDGUN","(41.704415941, -87.62466693)","false","false",49,2004,41.7,-87.6
"5917226",5917226,"01/17/2008 11:45:00 PM","ROBBERY","ARMED: HANDGUN","(41.772230707, -87.610591664)","false","false",42,2008,41.77223,-87.61059
"476744",476744,"03/18/2017 12:00:00 AM","OFFENSE INVOLVING CHILDREN","CRIM SEX ABUSE BY FAM MEMBER","(41.753006295, -87.67199911)","false","true",71,2017,41.753006295,-87.67199911
"2614000",2614000,"01/26/2002 11:30:00 PM","SEX OFFENSE","CRIMINAL SEXUAL ABUSE","(41.846356619, -87.703380051)","false","false",NA,2002,41.846356619,-87.703380051
"3908932",3908932,"08/06/2002 11:30:00 PM","BATTERY","AGGRAVATED: OTHER DANG WEAPON","(41.725737543, -87.602478624)","false","false",47,2002,41.725737543,-87.602478624
"2707269",2707269,"03/25/2011 04:21:00 PM","BURGLARY","FORCIBLE ENTRY","(41.933519761, -87.758940424)","false","false",19,2011,41.933519761,-87.758940424
"787118",787118,"09/30/2002 08:50:00 AM","BATTERY","SIMPLE","(41.935428738, -87.783396923)","true","false",19,2002,41.935428738,-87.783396923
"3993788",3993788,"10/27/2002 04:30:00 PM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.777388496, -87.637465813)","false","true",68,2002,41.777388496,-87.637465813
"4065272",4065272,"01/08/2003 04:32:30 PM","THEFT","ATTEMPT THEFT","(41.751813323, -87.560038151)","true","false",46,2003,41.751813323,-87.560038151
"6064640",6064640,"07/02/2008 08:15:00 PM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.917307788, -87.714745236)","false","true",22,2008,41.91731,-87.71475
"6074923",6074923,"07/13/2008 06:00:00 AM","ARSON","BY FIRE","(41.748922269, -87.603901424)","false","false",44,2008,41.74892,-87.6039
"6435135",6435135,"08/24/2009 08:30:00 PM","THEFT","OVER $500","(41.673308937, -87.638148755)","false","false",53,2009,41.67331,-87.63815
"472810",472810,"03/06/2017 06:00:00 AM","OTHER OFFENSE","HARASSMENT BY TELEPHONE","(41.906328239, -87.755870641)","false","false",25,2017,41.906328239,-87.755870641
"3632190",3632190,"10/22/2014 03:50:00 PM","ASSAULT","SIMPLE","(41.757014693, -87.558546342)","false","false",43,2014,41.757014693,-87.558546342
"6304267",6304267,"04/02/2009 12:00:00 AM","CRIMINAL DAMAGE","TO VEHICLE","(41.901577802, -87.664322776)","false","false",24,2009,41.90158,-87.66432
"1006074",1006074,"06/27/2004 10:25:00 PM","MOTOR VEHICLE THEFT","CYCLE, SCOOTER, BIKE W-VIN","(41.885393253, -87.663547848)","false","false",28,2004,41.885393253,-87.663547848
"4383353",4383353,"09/24/2003 09:56:00 PM","OTHER OFFENSE","FALSE/STOLEN/ALTERED TRP","(41.911868684, -87.712196624)","false","false",23,2003,41.9,-87.7
"2923896",2923896,"11/18/2011 02:33:00 PM","ASSAULT","AGGRAVATED: HANDGUN","(41.965876265, -87.708396068)","false","false",14,2011,41.965876265,-87.708396068
"1093567",1093567,"02/13/2005 05:30:00 AM","ROBBERY","ARMED:KNIFE/CUTTING INSTRUMENT","(42.008317225, -87.681606482)","false","false",1,2005,42.008317225,-87.681606482
"5186725",5186725,"09/28/2005 10:02:25 PM","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","(41.867414944, -87.627231186)","true","false",33,2005,41.86741,-87.62723
"5801695",5801695,"09/07/2007 10:28:00 PM","DECEPTIVE PRACTICE","BOGUS CHECK","(41.808855912, -87.664976619)","true","false",61,2007,41.80886,-87.66498
"3397143",3397143,"10/17/2013 07:00:00 AM","THEFT","$500 AND UNDER","(41.77662133, -87.710354128)","false","false",66,2013,41.77662133,-87.710354128
"1202064",1202064,"11/16/2004 01:56:00 PM","THEFT","$500 AND UNDER","(41.899271852, -87.772849288)","false","false",25,2004,41.899271852,-87.772849288
"803058",803058,"11/22/2002 02:55:00 PM","BATTERY","SIMPLE","(41.828343176, -87.626497604)","false","false",35,2002,41.828343176,-87.626497604
"3648049",3648049,"11/12/2014 02:00:00 PM","THEFT","$500 AND UNDER","(41.75835215, -87.582250988)","false","false",43,2014,41.75835215,-87.582250988
"4365950",4365950,"09/10/2003 01:00:00 PM","THEFT","$500 AND UNDER","(41.974593971, -87.668233282)","false","false",3,2003,42,-87.7
"1943263",1943263,"05/16/2001 01:10:00 PM","THEFT","$500 AND UNDER","(41.800724996, -87.70391154)","false","false",NA,2001,41.800724996,-87.70391154
"2760676",2760676,"05/21/2011 05:00:00 PM","THEFT","PURSE-SNATCHING","(41.799515859, -87.591448973)","true","false",41,2011,41.799515859,-87.591448973
"5274816",5274816,"10/28/2005 06:30:00 PM","ASSAULT","SIMPLE","(41.881980888, -87.697602741)","false","false",27,2005,41.88198,-87.6976
"2147563",2147563,"10/12/2001 04:00:00 AM","THEFT","OVER $500","(41.842665473, -87.635922222)","false","false",NA,2001,41.842665473,-87.635922222
"6100613",6100613,"08/11/2008 09:38:40 PM","BATTERY","DOMESTIC BATTERY SIMPLE","(42.006602057, -87.671049514)","true","false",1,2008,42.0066,-87.67105
"6129876",6129876,"09/09/2008 09:10:00 PM","NARCOTICS","POSS: HEROIN(WHITE)","(41.734121224, -87.652481833)","true","false",71,2008,41.73412,-87.65248
"307906",307906,"06/23/2016 06:30:00 PM","THEFT","$500 AND UNDER","(41.736259984, -87.628068782)","false","false",44,2016,41.736259984,-87.628068782
"145615",145615,"10/11/2015 04:00:00 AM","OTHER OFFENSE","TELEPHONE THREAT","(41.894365369, -87.659997908)","false","false",24,2015,41.894365369,-87.659997908
"5940927",5940927,"02/19/2008 11:21:00 AM","NARCOTICS","POSS: HEROIN(WHITE)","(41.7663005, -87.673570765)","true","false",67,2008,41.7663,-87.67357
"2069000",2069000,"08/15/2001 08:09:57 PM","THEFT","OVER $500","(41.750323516, -87.674588262)","false","false",NA,2001,41.750323516,-87.674588262
"5751353",5751353,"07/26/2007 02:50:00 PM","OTHER OFFENSE","TELEPHONE THREAT","(41.845298749, -87.623628162)","false","false",35,2007,41.8453,-87.62363
"542469",542469,"07/16/2017 08:27:00 PM","NARCOTICS","POSS: HEROIN(WHITE)","(41.885517614, -87.726921208)","true","false",26,2017,41.885517614,-87.726921208
"1307108",1307108,"05/27/2006 02:00:00 PM","CRIMINAL TRESPASS","TO LAND","(41.865098684, -87.664813357)","true","false",28,2006,41.865098684,-87.664813357
"2695879",2695879,"03/15/2011 10:31:00 AM","BATTERY","DOMESTIC BATTERY SIMPLE","(41.87704395, -87.729112676)","true","false",26,2011,41.87704395,-87.729112676
"1326538",1326538,"03/20/2012 10:00:00 PM","CRIMINAL DAMAGE","TO VEHICLE","(41.703402279, -87.603892473)","false","false",50,2012,41.703402279,-87.603892473
"5415039",5415039,"07/29/2006 05:30:00 PM","THEFT","$500 AND UNDER","(41.992462693, -87.678475953)","true","false",2,2006,41.99246,-87.67848
